Grupo,Familia,Genero,Nombre_cientifico_del_taxon,Categoria_taxonomica,Endemismo_para_Colombia,Nativa_para_Colombia,Estado_de_amenaza,Distribucion,Especimen_representativo,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Angiospermas,Acanthaceae,Acanthus,Acanthus mollis L.,especie,0,0,No evaluada,No Nativa,"García-Barriga, H. 9 (COL) 1933",BestMatch,9.42329,Exact,0,Acanthus mollis L.,Acanthus mollis L.,Acanthus mollis,92T9,Acanthus mollis L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Acantheae|Acanthinae|Acanthus|Acanthus mollis,
Angiospermas,Acanthaceae,Dicliptera,Dicliptera peduncularis Nees,especie,0,0,No evaluada,No Nativa,"Morales-L., G. (1979)",BestMatch,9.42329,Exact,0,Dicliptera peduncularis Nees,Dicliptera peduncularis Nees,Dicliptera peduncularis,35Q8P,Dicliptera peduncularis Nees,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Justicieae|Justiciinae|Dicliptera|Dicliptera peduncularis,
Angiospermas,Acanthaceae,Hypoestes,Hypoestes phyllostachya Baker,especie,0,0,No evaluada,No Nativa,"Rodríguez, Á. 2236 (JBB) 2018",BestMatch,9.42329,Exact,0,Hypoestes phyllostachya Baker,Hypoestes phyllostachya Baker,Hypoestes phyllostachya,3NVS3,Hypoestes phyllostachya Baker,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Justicieae|Justiciinae|Hypoestes|Hypoestes phyllostachya,
Angiospermas,Acanthaceae,Justicia,Justicia brandegeeana Wassh. & L.B.Sm.,especie,0,0,No evaluada,No Nativa,"Aranda, J.N. 6 (HPUJ) 2001",BestMatch,9.42329,Exact,0,Justicia brandegeeana Wassh. & L.B.Sm.,Justicia brandegeeana Wassh. & L.B.Sm.,Justicia brandegeeana,3QVZF,Justicia brandegeeana Wassh. & L.B.Sm.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Justicieae|Justiciinae|Justicia|Justicia brandegeeana,
Angiospermas,Acanthaceae,Justicia,Justicia carnea Lindl.,especie,0,0,No evaluada,No Nativa,"Rodríguez, Á. 2201 (JBB) 2018",BestMatch,9.42329,Exact,0,Justicia carnea Lindl.,Justicia carnea Lindl.,Justicia carnea,3QW3R,Justicia carnea Lindl.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Justicieae|Justiciinae|Justicia|Justicia carnea,
Angiospermas,Acanthaceae,Justicia,Justicia secunda Vahl,especie,0,1,No evaluada,Nativa,"Muñoz, J.A. 1195 (JBB) 2018",BestMatch,9.42260,Exact,0,Justicia secunda Vahl,Justicia secunda Vahl,Justicia secunda,182328,Justicia secunda Vahl,false,3,ITIS,Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Asteranae|Lamiales|Acanthaceae|Justicia|Justicia secunda,
Angiospermas,Acanthaceae,Megaskepasma,Megaskepasma erythrochlamys Lindau,especie,0,0,No evaluada,No Nativa,"Muñoz, J.A. 1200 (JBB) 2018",BestMatch,9.42329,Exact,0,Megaskepasma erythrochlamys Lindau,Megaskepasma erythrochlamys Lindau,Megaskepasma erythrochlamys,3YZ3J,Megaskepasma erythrochlamys Lindau,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Justicieae|Justiciinae|Megaskepasma|Megaskepasma erythrochlamys,
Angiospermas,Acanthaceae,Pachystachys,Pachystachys lutea Nees,especie,0,0,No evaluada,No Nativa,"Osorio-Olarte, J., Uribe-Botero, E., & Molina-Prieto, L. F. (1998)",BestMatch,9.42260,Exact,0,Pachystachys lutea Nees,Pachystachys lutea Nees,Pachystachys lutea,832842,Pachystachys lutea Nees,false,3,ITIS,Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Asteranae|Lamiales|Acanthaceae|Pachystachys|Pachystachys lutea,
Angiospermas,Acanthaceae,Ruellia,Ruellia blechum L.,especie,0,1,Preocupación menor,Nativa,"Vargas, Carlos Alberto 3250 (JBB) 2014",BestMatch,9.42329,Exact,0,Ruellia blechum L.,Ruellia blechum L.,Ruellia blechum,4TMVF,Ruellia blechum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Ruellieae|Ruelliinae|Ruellia|Ruellia blechum,
Angiospermas,Acanthaceae,Stenandrium,Stenandrium dulce (Cav.) Nees,especie,0,1,No evaluada,Nativa,"García-Barriga, H. 154 (COL) 1933",BestMatch,9.42329,Exact,0,Stenandrium dulce (Cav.) Nees,Stenandrium dulce (Cav.) Nees,Stenandrium dulce,4ZTTH,Stenandrium dulce (Cav.) Nees,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Acantheae|Aphelandrinae|Stenandrium|Stenandrium dulce,
