Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
BestMatch,9.42329,Exact,0,Acanthus mollis L.,Acanthus mollis L.,Acanthus mollis,92T9,Acanthus mollis L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Acantheae|Acanthinae|Acanthus|Acanthus mollis,
BestMatch,9.42329,Exact,0,Dicliptera peduncularis Nees,Dicliptera peduncularis Nees,Dicliptera peduncularis,35Q8P,Dicliptera peduncularis Nees,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Justicieae|Justiciinae|Dicliptera|Dicliptera peduncularis,
BestMatch,9.42329,Exact,0,Hypoestes phyllostachya Baker,Hypoestes phyllostachya Baker,Hypoestes phyllostachya,3NVS3,Hypoestes phyllostachya Baker,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Justicieae|Justiciinae|Hypoestes|Hypoestes phyllostachya,
BestMatch,9.42329,Exact,0,Justicia brandegeeana Wassh. & L.B.Sm.,Justicia brandegeeana Wassh. & L.B.Sm.,Justicia brandegeeana,3QVZF,Justicia brandegeeana Wassh. & L.B.Sm.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Justicieae|Justiciinae|Justicia|Justicia brandegeeana,
BestMatch,9.42329,Exact,0,Justicia carnea Lindl.,Justicia carnea Lindl.,Justicia carnea,3QW3R,Justicia carnea Lindl.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Justicieae|Justiciinae|Justicia|Justicia carnea,
BestMatch,9.42260,Exact,0,Justicia secunda Vahl,Justicia secunda Vahl,Justicia secunda,182328,Justicia secunda Vahl,false,3,ITIS,Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Asteranae|Lamiales|Acanthaceae|Justicia|Justicia secunda,
BestMatch,9.42329,Exact,0,Megaskepasma erythrochlamys Lindau,Megaskepasma erythrochlamys Lindau,Megaskepasma erythrochlamys,3YZ3J,Megaskepasma erythrochlamys Lindau,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Justicieae|Justiciinae|Megaskepasma|Megaskepasma erythrochlamys,
BestMatch,9.42260,Exact,0,Pachystachys lutea Nees,Pachystachys lutea Nees,Pachystachys lutea,832842,Pachystachys lutea Nees,false,3,ITIS,Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Asteranae|Lamiales|Acanthaceae|Pachystachys|Pachystachys lutea,
BestMatch,9.42329,Exact,0,Ruellia blechum L.,Ruellia blechum L.,Ruellia blechum,4TMVF,Ruellia blechum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Ruellieae|Ruelliinae|Ruellia|Ruellia blechum,
BestMatch,9.42329,Exact,0,Stenandrium dulce (Cav.) Nees,Stenandrium dulce (Cav.) Nees,Stenandrium dulce,4ZTTH,Stenandrium dulce (Cav.) Nees,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Acantheae|Aphelandrinae|Stenandrium|Stenandrium dulce,
BestMatch,9.42260,Exact,0,Stenostephanus sanguineus (Nees) Wassh.,Stenostephanus sanguineus (Nees) Wassh.,Stenostephanus sanguineus,wfo-0000433751-2025-06,Stenostephanus sanguineus (Nees) Wassh.,false,196,World Flora Online,Plantae|Pteridobiotina|Angiosperms|Lamiales|Acanthaceae|Stenostephanus|Stenostephanus sanguineus,
BestMatch,9.42226,Exact,0,Thunbergia alata Sims,Thunbergia alata Sims,Thunbergia alata,bare-name-117241-3,,false,167,IPNI,,
BestMatch,9.42329,Exact,0,Thunbergia grandiflora (Rottl.) Roxb.,Thunbergia grandiflora (Roxb. ex Rottler) Roxb.,Thunbergia grandiflora,56NYK,Thunbergia grandiflora (Roxb. ex Rottler) Roxb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Thunbergioideae|Thunbergieae|Thunbergia|Thunbergia grandiflora,
BestMatch,9.42329,Exact,0,Saurauia isoxanthotricha Buscal.,Saurauia isoxanthotricha Buscal.,Saurauia isoxanthotricha,79Q3B,Saurauia isoxanthotricha Buscal.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Actinidiaceae|Saurauioideae|Saurauia|Saurauia isoxanthotricha,
BestMatch,9.42329,Exact,0,Saurauia scabra (Kunth) D.Dietr.,Saurauia scabra (Kunth) D.Dietr.,Saurauia scabra,79Q58,Saurauia scabra (Kunth) D.Dietr.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Actinidiaceae|Saurauioideae|Saurauia|Saurauia scabra,
BestMatch,9.42329,Exact,0,Saurauia ursina Triana & Planch.,Saurauia ursina Triana & Planch.,Saurauia ursina,79Q7M,Saurauia ursina Triana & Planch.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Actinidiaceae|Saurauioideae|Saurauia|Saurauia ursina,
